PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1401; LNum: 21; AvTime: 0.1454; AbsError: 0.0053; RelError: 0.0362 %; TaskPerf: 919641;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1473; LNum: 22; AvTime: 0.1454; AbsError: 0.0019; RelError: 0.0133 %; TaskPerf: 874723;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1439; LNum: 23; AvTime: 0.1454; AbsError: 0.0015; RelError: 0.0102 %; TaskPerf: 895493;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1443; LNum: 24; AvTime: 0.1454; AbsError: 0.0011; RelError: 0.0076 %; TaskPerf: 893217;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1469; LNum: 25; AvTime: 0.1454; AbsError: 0.0015; RelError: 0.0105 %; TaskPerf: 877134;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1443; LNum: 26; AvTime: 0.1454; AbsError: 0.0011; RelError: 0.0076 %; TaskPerf: 893211;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1481; LNum: 27; AvTime: 0.1454; AbsError: 0.0027; RelError: 0.0188 %; TaskPerf: 870053;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1448; LNum: 28; AvTime: 0.1454; AbsError: 0.0006; RelError: 0.0041 %; TaskPerf: 890059;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1644; LNum: 29; AvTime: 0.1454; AbsError: 0.0191; RelError: 0.1313 %; TaskPerf: 783535;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1569; LNum: 30; AvTime: 0.1454; AbsError: 0.0115; RelError: 0.0793 %; TaskPerf: 821246;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1558; LNum: 31; AvTime: 0.1454; AbsError: 0.0104; RelError: 0.0718 %; TaskPerf: 827018;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1544; LNum: 32; AvTime: 0.1454; AbsError: 0.0090; RelError: 0.0620 %; TaskPerf: 834634;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1403; LNum: 33; AvTime: 0.1454; AbsError: 0.0050; RelError: 0.0345 %; TaskPerf: 918102;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2116; LNum: 0; AvTime: 0.2180; AbsError: 0.0064; RelError: 0.0296 %; TaskPerf: 609014;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2179; LNum: 1; AvTime: 0.2180; AbsError: 0.0001; RelError: 0.0007 %; TaskPerf: 591399;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2178; LNum: 2; AvTime: 0.2180; AbsError: 0.0002; RelError: 0.0009 %; TaskPerf: 591550;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2184; LNum: 3; AvTime: 0.2180; AbsError: 0.0004; RelError: 0.0020 %; TaskPerf: 589836;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2239; LNum: 4; AvTime: 0.2180; AbsError: 0.0059; RelError: 0.0270 %; TaskPerf: 575482;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2174; LNum: 5; AvTime: 0.2180; AbsError: 0.0006; RelError: 0.0029 %; TaskPerf: 592750;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2261; LNum: 6; AvTime: 0.2180; AbsError: 0.0080; RelError: 0.0369 %; TaskPerf: 569974;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2315; LNum: 7; AvTime: 0.2180; AbsError: 0.0135; RelError: 0.0618 %; TaskPerf: 556632;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2302; LNum: 8; AvTime: 0.2180; AbsError: 0.0121; RelError: 0.0557 %; TaskPerf: 559817;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2249; LNum: 9; AvTime: 0.2180; AbsError: 0.0069; RelError: 0.0318 %; TaskPerf: 572797;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2153; LNum: 10; AvTime: 0.2180; AbsError: 0.0027; RelError: 0.0123 %; TaskPerf: 598343;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2154; LNum: 11; AvTime: 0.2180; AbsError: 0.0026; RelError: 0.0122 %; TaskPerf: 598285;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2139; LNum: 12; AvTime: 0.2180; AbsError: 0.0041; RelError: 0.0189 %; TaskPerf: 602421;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2137; LNum: 13; AvTime: 0.2180; AbsError: 0.0043; RelError: 0.0197 %; TaskPerf: 602871;
